State,University,Year_Range,Completion_Rate
Queensland,Griffith University,2010-2018,69.6
Queensland,James Cook University,2010-2018,63.8
Queensland,Queensland University of Technology,2010-2018,75.7
Queensland,The University of Queensland,2010-2018,81.7
Queensland,University of Southern Queensland,2010-2018,53.5
Queensland,University of the Sunshine Coast,2010-2018,62.5
Western Australia,Curtin University,2010-2018,71
Western Australia,Edith Cowan University,2010-2018,61.1
Western Australia,Murdoch University,2010-2018,60.5
Western Australia,The University of Western Australia,2010-2018,84.6
South Australia,Flinders University,2010-2018,68.8
South Australia,The University of Adelaide,2010-2018,76.4
South Australia,University of South Australia,2010-2018,70.8
Tasmania,University of Tasmania,2010-2018,67
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2010-2018,23.8
Northern Territory,Charles Darwin University,2010-2018,49.2
Australian Capital Territory,The Australian National University,2010-2018,87.4
Australian Capital Territory,University of Canberra,2010-2018,66.4
Multi-State,Australian Catholic University,2010-2018,73.7
New South Wales,Charles Sturt University,2011-2019,61.8
New South Wales,Macquarie University,2011-2019,77.2
New South Wales,Southern Cross University,2011-2019,57.9
New South Wales,The University of New England,2011-2019,57.6
New South Wales,The University of Newcastle,2011-2019,70.4
New South Wales,The University of Sydney,2011-2019,86.6
New South Wales,University of New South Wales,2011-2019,86.2
New South Wales,University of Technology Sydney,2011-2019,85.8
New South Wales,University of Wollongong,2011-2019,79.6
New South Wales,Western Sydney University,2011-2019,67.4
Victoria,Deakin University,2011-2019,74.3
Victoria,Federation University Australia(a),2011-2019,45.4
Victoria,La Trobe University,2011-2019,74.6
Victoria,Monash University,2011-2019,85.8
Victoria,RMIT University,2011-2019,78.9
Victoria,Swinburne University of Technology,2011-2019,69.2
Victoria,The University of Melbourne,2011-2019,91.8
Victoria,Victoria University,2011-2019,65.3
Queensland,CQUniversity,2011-2019,52.2
Queensland,Griffith University,2011-2019,71.2
Queensland,James Cook University,2011-2019,65.3
Queensland,Queensland University of Technology,2011-2019,76.3
Queensland,The University of Queensland,2011-2019,82.5
Queensland,University of Southern Queensland,2011-2019,52.8
Queensland,University of the Sunshine Coast,2011-2019,63.3
Western Australia,Curtin University,2011-2019,71.4
Western Australia,Edith Cowan University,2011-2019,60.1
Western Australia,Murdoch University,2011-2019,60.1
Western Australia,The University of Western Australia,2011-2019,85.3
South Australia,Flinders University,2011-2019,67.4
South Australia,The University of Adelaide,2011-2019,74.3
South Australia,University of South Australia,2011-2019,69.4
Tasmania,University of Tasmania,2011-2019,66.5
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2011-2019,36.4
Northern Territory,Charles Darwin University,2011-2019,50.9
Australian Capital Territory,The Australian National University,2011-2019,88.4
Australian Capital Territory,University of Canberra,2011-2019,64.8
Multi-State,Australian Catholic University,2011-2019,71.5
New South Wales,Charles Sturt University,2012-2020,61.2
New South Wales,Macquarie University,2012-2020,74.5
New South Wales,Southern Cross University,2012-2020,55.8
New South Wales,The University of New England,2012-2020,54.7
New South Wales,The University of Newcastle,2012-2020,69.9
New South Wales,The University of Sydney,2012-2020,84.9
New South Wales,University of New South Wales,2012-2020,87.5
